Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
45,11022,10677
23,138323,133770
27,41689,40028
39,50902,48921
65,290805,280759
28,186815,179620
67,534271,514608
5,11933,11514
43,346884,333857
53,10732,10331
31,2751,2645
51,33861,32567
63,4124,4017
36,3749,3652
19,29577,28426
35,68328,65714
54,1036,996
4,462679,446775
62,112268,107818
13,117690,113247
20,6427,6221
1,74938,72172
17,7938,7667
70,20908,20264
14,296215,285133
47,399040,385322
68,57999,56089
34,237466,228336
46,6176701,5963524
50,284,276
