Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
47,399040,385322
3,115263,111236
51,33861,32567
10,6918,6658
5,11933,11514
19,29577,28426
60,20566,19774
42,488548,470446
7,108611,104706
11,93453,89598
4,462679,446775
17,7938,7667
50,284,276
70,20908,20264
22,15671,15182
68,57999,56089
20,6427,6221
64,864962,834623
43,346884,333857
52,6902,6646
25,106489,102547
48,525,508
28,186815,179620
39,50902,48921
12,61284,59016
14,296215,285133
32,2054,1974
58,17837,17180
65,290805,280759
9,402638,389425
