Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
60,20566,19774
2,63386,61451
43,346884,333857
10,6918,6658
47,399040,385322
54,1036,996
27,41689,40028
50,284,276
34,237466,228336
56,29469,28332
29,155808,150180
57,118031,113913
59,102800,99076
26,7387,7180
22,15671,15182
63,4124,4017
32,2054,1974
66,5046611,4873607
42,488548,470446
35,68328,65714
15,344933,331469
3,115263,111236
28,186815,179620
71,819,789
51,33861,32567
25,106489,102547
31,2751,2645
68,57999,56089
14,296215,285133
69,10801638,10404167
