Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
50,284,276
68,57999,56089
6,7125,6867
55,4706,4537
51,33861,32567
63,4124,4017
37,46320,45050
24,188937,181930
49,3961,3818
60,20566,19774
23,138323,133770
46,6176701,5963524
64,864962,834623
59,102800,99076
52,6902,6646
35,68328,65714
57,118031,113913
12,61284,59016
3,115263,111236
67,534271,514608
56,29469,28332
9,402638,389425
45,11022,10677
14,296215,285133
15,344933,331469
61,94979,92092
71,819,789
4,462679,446775
34,237466,228336
22,15671,15182
