Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
11,93453,89598
23,138323,133770
14,296215,285133
58,17837,17180
35,68328,65714
34,237466,228336
52,6902,6646
31,2751,2645
10,6918,6658
6,7125,6867
24,188937,181930
68,57999,56089
48,525,508
25,106489,102547
62,112268,107818
5,11933,11514
15,344933,331469
9,402638,389425
26,7387,7180
54,1036,996
1,74938,72172
20,6427,6221
66,5046611,4873607
69,10801638,10404167
57,118031,113913
67,534271,514608
65,290805,280759
59,102800,99076
8,106646,102749
43,346884,333857
