Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
17,7938,7667
39,50902,48921
62,112268,107818
29,155808,150180
50,284,276
31,2751,2645
59,102800,99076
71,819,789
53,10732,10331
1,74938,72172
65,290805,280759
26,7387,7180
57,118031,113913
27,41689,40028
67,534271,514608
44,223044,215378
51,33861,32567
35,68328,65714
68,57999,56089
21,39839,38305
19,29577,28426
60,20566,19774
33,312918,300967
40,52193,50336
5,11933,11514
38,12724,12335
32,2054,1974
64,864962,834623
43,346884,333857
20,6427,6221
