Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
29,155808,150180
70,20908,20264
40,52193,50336
33,312918,300967
68,57999,56089
25,106489,102547
2,63386,61451
20,6427,6221
57,118031,113913
55,4706,4537
5,11933,11514
26,7387,7180
51,33861,32567
58,17837,17180
14,296215,285133
3,115263,111236
37,46320,45050
35,68328,65714
23,138323,133770
65,290805,280759
71,819,789
17,7938,7667
63,4124,4017
53,10732,10331
69,10801638,10404167
46,6176701,5963524
12,61284,59016
45,11022,10677
61,94979,92092
7,108611,104706
