Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
56,29469,28332
67,534271,514608
18,2090,2010
38,12724,12335
47,399040,385322
51,33861,32567
25,106489,102547
42,488548,470446
65,290805,280759
70,20908,20264
45,11022,10677
46,6176701,5963524
26,7387,7180
9,402638,389425
61,94979,92092
35,68328,65714
43,346884,333857
5,11933,11514
28,186815,179620
69,10801638,10404167
3,115263,111236
40,52193,50336
21,39839,38305
23,138323,133770
27,41689,40028
68,57999,56089
60,20566,19774
24,188937,181930
55,4706,4537
15,344933,331469
