Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
24,188937,181930
18,2090,2010
34,237466,228336
55,4706,4537
26,7387,7180
19,29577,28426
46,6176701,5963524
43,346884,333857
23,138323,133770
56,29469,28332
53,10732,10331
15,344933,331469
65,290805,280759
61,94979,92092
51,33861,32567
62,112268,107818
21,39839,38305
5,11933,11514
60,20566,19774
54,1036,996
44,223044,215378
29,155808,150180
12,61284,59016
71,819,789
27,41689,40028
58,17837,17180
35,68328,65714
39,50902,48921
57,118031,113913
3,115263,111236
