Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
16,93300,89788
14,296215,285133
43,346884,333857
37,46320,45050
26,7387,7180
62,112268,107818
13,117690,113247
32,2054,1974
50,284,276
11,93453,89598
33,312918,300967
6,7125,6867
17,7938,7667
36,3749,3652
22,15671,15182
7,108611,104706
35,68328,65714
3,115263,111236
4,462679,446775
70,20908,20264
64,864962,834623
8,106646,102749
31,2751,2645
55,4706,4537
68,57999,56089
5,11933,11514
23,138323,133770
34,237466,228336
58,17837,17180
1,74938,72172
