Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
31,2751,2645
30,81449,78442
26,7387,7180
51,33861,32567
32,2054,1974
36,3749,3652
2,63386,61451
22,15671,15182
4,462679,446775
10,6918,6658
49,3961,3818
70,20908,20264
19,29577,28426
24,188937,181930
64,864962,834623
53,10732,10331
13,117690,113247
9,402638,389425
18,2090,2010
7,108611,104706
17,7938,7667
47,399040,385322
43,346884,333857
5,11933,11514
39,50902,48921
41,226866,217945
35,68328,65714
37,46320,45050
44,223044,215378
1,74938,72172
